date,ticker,qty,order
2020-09-21,XLV,111,BUY
2020-09-21,XLF,160,BUY
2020-09-21,TLT,84,SELL
2020-09-28,XLU,428,SELL
2020-09-28,XLK,53,SELL
2020-09-28,XLB,55,SELL
2020-09-28,XLP,202,BUY
2020-09-28,XLY,49,SELL
2020-09-28,XLI,65,SELL
2020-09-28,XLV,6,SELL
2020-09-28,XLF,328,SELL
2020-09-28,TLT,343,BUY
2020-10-05,XLU,116,BUY
2020-10-05,XLK,6,SELL
2020-10-05,XLB,254,BUY
2020-10-05,XLP,144,SELL
2020-10-05,XLY,133,SELL
2020-10-05,XLI,440,BUY
2020-10-05,XLV,213,SELL
2020-10-05,XLF,159,SELL
2020-10-05,TLT,27,SELL
2020-10-12,XLU,878,BUY
2020-10-12,XLK,10,BUY
2020-10-12,XLB,62,SELL
2020-10-12,XLP,131,SELL
2020-10-12,XLY,69,SELL
2020-10-12,XLI,58,BUY
2020-10-12,XLV,291,SELL
2020-10-12,XLF,104,BUY
2020-10-12,TLT,203,SELL
2020-10-19,XLU,338,SELL
2020-10-19,XLK,53,SELL
2020-10-19,XLB,366,SELL
2020-10-19,XLP,85,SELL
2020-10-19,XLY,800,BUY
2020-10-19,XLI,175,SELL
2020-10-19,XLV,829,SELL
2020-10-19,XLF,56,BUY
2020-10-19,TLT,280,BUY
2020-10-26,XLU,642,BUY
2020-10-26,XLK,326,BUY
2020-10-26,XLB,369,BUY
2020-10-26,XLP,57,BUY
2020-10-26,XLY,213,BUY
2020-10-26,XLI,590,BUY
2020-10-26,XLV,45,SELL
2020-10-26,XLF,108,BUY
2020-10-26,TLT,1431,SELL
2020-11-02,XLU,21,SELL
2020-11-02,XLK,99,BUY
2020-11-02,XLB,426,BUY
2020-11-02,XLP,189,BUY
2020-11-02,XLY,85,SELL
2020-11-02,XLI,154,BUY
2020-11-02,XLF,21,BUY
2020-11-02,TLT,288,SELL
2020-11-09,XLU,72,BUY
2020-11-09,XLK,60,SELL
2020-11-09,XLB,471,SELL
2020-11-09,XLP,470,SELL
2020-11-09,XLY,273,BUY
2020-11-09,XLI,379,SELL
2020-11-09,XLV,16,BUY
2020-11-09,XLF,345,SELL
2020-11-09,TLT,357,BUY
2020-11-16,XLU,262,BUY
2020-11-16,XLK,134,BUY
2020-11-16,XLB,163,BUY
2020-11-16,XLP,148,BUY
2020-11-16,XLY,92,SELL
2020-11-16,XLI,43,BUY
2020-11-16,XLV,84,BUY
2020-11-16,XLF,35,BUY
2020-11-16,TLT,330,SELL
2020-11-23,XLU,355,SELL
2020-11-23,XLK,104,SELL
2020-11-23,XLB,88,SELL
2020-11-23,XLP,145,SELL
2020-11-23,XLY,220,SELL
2020-11-23,XLI,450,SELL
2020-11-23,XLV,100,SELL
2020-11-23,XLF,94,BUY
2020-11-23,TLT,804,BUY
2020-11-30,XLU,159,BUY
2020-11-30,XLK,49,SELL
2020-11-30,XLB,165,SELL
2020-11-30,XLP,9,BUY
2020-11-30,XLY,20,SELL
2020-11-30,XLI,82,SELL
2020-11-30,XLF,80,BUY
2020-11-30,TLT,169,SELL
2020-12-07,XLU,240,BUY
2020-12-07,XLK,387,BUY
2020-12-07,XLB,517,SELL
2020-12-07,XLP,187,SELL
2020-12-07,XLY,308,SELL
2020-12-07,XLI,741,BUY
2020-12-07,XLV,362,BUY
2020-12-07,XLF,376,BUY
2020-12-07,TLT,252,SELL
2020-12-14,XLU,350,SELL
2020-12-14,XLK,105,BUY
